userid,text
kikiandgd,"可愛"
s3dh2,"幹太快"
dc92044sony,"????????????????????????????"
BHSN00000q3t,"好可愛"
hp76249,"沒看過這麼快的"
realandtrue,"骨感一分鐘"
a4391030,"影片不到90秒 廣告30秒"
x0902,"體感一分鐘..."
yinqiancai02,"好可愛啊啊啊"
nehsh101,"蛤 沒了"
becky1020109,"蛤"
xiupingdang,"啊？"
carnew681012,"等一下 我不是剛看！？"
Rei9488,"真•體感一分鐘"
A15874875,"體感一分鐘"
lois19920926,"好想吃"
junhui9520,"蛤...？"
account77615,"廣告30秒正片一分鐘 但是太可愛我願意😍"
yuzhuang912,"一集一分三十秒 片尾曲占20秒"
shadow121010,"真的是一分鐘"
kevin1998oo,"等了30秒 看了一分鐘"
RoaBoa850216,"這啥玩意兒XDDDD"
cdfh1284841,"???????"
timlin0808,"好好吃的感覺"
yymkc,"體感一分鐘"
a70888765,"體感一分鐘"
Bokey1423,"卡伊卡哇"
seisaisha,"????????????????????????????????"
hau740212,"???????????????????????????"
Anima0415,"又要廣告了"
pig61012,"30秒廣告看1分鐘"
kk0913538560,"三小怎麼沒了"
yuyi7613,"笑死"
Kthunderbolt,"我爱小八"
A1010010,"我還在思考正片在哪就沒了"
ncbob,"XDDDDDDD"
win7288,"好萌呀～"
love20201128,"魔性"
Lucy08070807,"到底是在紅怎樣的啊"
wuted,"兄弟～"
ox22081,"笑屎🤣🤣🤣"
jimmy0416,"嗨 晚安"
yurouhong36,"有喜歡吉伊卡哇的要加ig嗎IG:h._.y._.r._.0201"
yiling0807,"啊？"
kateihan0307,"no~"
leteargerbob,"要撐到13-14集才開始有劇情喔~~~~"
Webb2012,"1"
homo760123,"體感10秒"
jasonlin0331,"蛤"
yuye00571,"蛤"
Aa5709453,"這..🔚了，看了😔💬"
snowball1292,"母災"
s1080025,"貓"
bear508,"我的泡麵還沒好"
joanne789,"才1分鐘 我要看30秒的廣告？"
WWWW1108,"好可愛呀\(//∇//)\"
xinghe820,"體感一分鐘"
loenyen73,"我也是為了吉伊買會員😂😂"
annana566,"所以為啥彈幕要一直兄弟的( ･᷄ὢ･᷅ )？"
YEYU8964,"體感20秒"
jobe13321712,"???????????????????"
J310923,"我買免廣告了"
rosa0812,"啊啊啊啊"
g840483938,"沒有了哈哈哈ㄏ阿"
a38395654a,"兄弟"
Melody122,"為什麼要一直兄弟的( ･᷄ὢ･᷅ )"
st5109185,"诶"
AS52302100,"OK......."
jimmy0416,"掰掰 晚安"
acgn75410302,"為了吉伊卡哇第一次買了會員👍"
yinqiancai02,"小八💗"
g840483938,"泡泡驗超市和看"
ZED8090,"ZMB"
Mia130,"體感一秒鐘提敢一秒鐘"
D0690422,"兄弟有事請轉身"
swyan,"ˊˊˊˊˊˊˊˊˊˊˊˊˊˊˊˊˊˊˊ"
Webb2012,"我"
kekerry75,"😀"
linzzi,"沒了？？？？"
st5109185,"哈"
