,name,url,area_genre,rating,holiday,dinner_price,lunch_price
68,パティスリー コテ デュ ボワ,https://tabelog.com/tw/tokyo/A1320/A132001/13049459/,"三鷹車站 / 蛋糕, 咖啡店",3.61,-,"JPY 1,000 - JPY 1,999",-
69,egg baby cafe,https://tabelog.com/tw/tokyo/A1311/A131101/13229207/,"御徒町車站 / 咖啡店, 三明治, 甜食",3.60,-,"JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999"
70,LOUANGE TOKYO Le Musée,https://tabelog.com/tw/tokyo/A1301/A130101/13258105/,"銀座一丁目車站 / 蛋糕, 咖啡店, 鬆餅",3.60,-,"JPY 8,000 - JPY 9,999","JPY 8,000 - JPY 9,999"
71,PARLA 東急プラザ銀座,https://tabelog.com/tw/tokyo/A1301/A130101/13193913/,銀座車站 / 可麗餅/法式薄餅,3.60,-,"JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999"
72,Au Temps Jadis,https://tabelog.com/tw/tokyo/A1303/A130301/13003350/,"明治神宮前車站 / 可麗餅/法式薄餅, 法式料理",3.60,星期二,"JPY 2,000 - JPY 2,999","JPY 2,000 - JPY 2,999"
73,ONIBUS COFFEE 自由が丘店,https://tabelog.com/tw/tokyo/A1317/A131703/13270166/,"自由丘車站 / 咖啡店, 蛋糕",3.60,-, - JPY 999, - JPY 999
74,谷中 福丸饅頭,https://tabelog.com/tw/tokyo/A1311/A131106/13022554/,千馱木車站 / 日式點心,3.60,-,-, - JPY 999
75,トライアングルカフェ,https://tabelog.com/tw/tokyo/A1317/A131708/13243011/,"二子玉川車站 / 咖啡店, 義大利料理, 甜食",3.60,-,"JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999"
76,ル・クシネ,https://tabelog.com/tw/tokyo/A1311/A131106/13177883/,根津車站 / 蛋糕,3.60,-,-, - JPY 999
77,オレンジカウンティ 本店,https://tabelog.com/tw/tokyo/A1318/A131814/13096736/,"祖師谷大藏車站 / 可麗餅/法式薄餅, 咖啡店",3.60,-, - JPY 999, - JPY 999
78,オブゴ ベーカー Edo St.店,https://tabelog.com/tw/tokyo/A1302/A130204/13257587/,"小傳馬町車站 / 西式甜點, 咖啡店",3.60,-, - JPY 999, - JPY 999
79,オザワ洋菓子店,https://tabelog.com/tw/tokyo/A1310/A131004/13055194/,本鄉三丁目車站 / 蛋糕,3.60,"星期一, 星期日", - JPY 999,-
80,パペルブルグ,https://tabelog.com/tw/tokyo/A1329/A132904/13010298/,"八王子南野車站 / 咖啡店, 蛋糕",3.60,-,"JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999"
81,CAMERA,https://tabelog.com/tw/tokyo/A1311/A131103/13174229/,"藏前車站 / 咖啡店, 西式甜點",3.60,星期一, - JPY 999,"JPY 1,000 - JPY 1,999"
82,和菓子処 大角玉屋 四谷店,https://tabelog.com/tw/tokyo/A1309/A130903/13006834/,"四谷三丁目車站 / 日式點心, 大福, 銅鑼燒",3.60,-, - JPY 999,-
83,アルカション 練馬店,https://tabelog.com/tw/tokyo/A1321/A132102/13191018/,"練馬車站 / 蛋糕, 麵包",3.60,星期二,"JPY 1,000 - JPY 1,999",-
84,ネル クラフトチョコレート トウキョウ,https://tabelog.com/tw/tokyo/A1302/A130204/13231687/,"水天宮前車站 / 巧克力, 咖啡店",3.60,"星期一, 星期二","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999"
